@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute test-1 {0,1,2,3,4,5}

@data
433,'2020/01/30 13:10:01:063',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
434,'2020/01/30 13:10:01:080',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
435,'2020/01/30 13:10:01:096',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
436,'2020/01/30 13:10:01:113',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
437,'2020/01/30 13:10:01:130',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
438,'2020/01/30 13:10:01:145',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
439,'2020/01/30 13:10:01:163',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
440,'2020/01/30 13:10:01:184',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
441,'2020/01/30 13:10:01:198',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
442,'2020/01/30 13:10:01:212',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
443,'2020/01/30 13:10:01:229',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
444,'2020/01/30 13:10:01:246',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
445,'2020/01/30 13:10:01:262',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
446,'2020/01/30 13:10:01:285',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
447,'2020/01/30 13:10:01:299',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
448,'2020/01/30 13:10:01:314',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
449,'2020/01/30 13:10:01:334',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
450,'2020/01/30 13:10:01:348',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
451,'2020/01/30 13:10:01:361',10,0.956863,0.956863,0.956863,0.956863,0.956863,4
452,'2020/01/30 13:10:01:384',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
453,'2020/01/30 13:10:01:397',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
454,'2020/01/30 13:10:01:415',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
455,'2020/01/30 13:10:01:429',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
456,'2020/01/30 13:10:01:447',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
457,'2020/01/30 13:10:01:466',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
458,'2020/01/30 13:10:01:481',10,0.952941,0.952941,0.952941,0.952941,0.952941,4
459,'2020/01/30 13:10:01:500',10,0.94902,0.94902,0.94902,0.94902,0.94902,4
