@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2486,'2020/01/27 14:51:40:770',25,327,299,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2487,'2020/01/27 14:51:40:770',25,326,299,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2488,'2020/01/27 14:51:40:810',25,316,307,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2489,'2020/01/27 14:51:40:810',25,313,314,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2490,'2020/01/27 14:51:40:810',25,312,322,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2491,'2020/01/27 14:51:40:847',25,312,328,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2492,'2020/01/27 14:51:40:847',25,313,331,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2493,'2020/01/27 14:51:40:847',25,314,333,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2494,'2020/01/27 14:51:40:847',25,315,334,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2495,'2020/01/27 14:51:40:886',25,316,334,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2496,'2020/01/27 14:51:40:886',25,317,334,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2497,'2020/01/27 14:51:40:887',25,318,333,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2498,'2020/01/27 14:51:40:928',25,321,330,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2499,'2020/01/27 14:51:40:928',25,323,326,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2500,'2020/01/27 14:51:40:929',25,325,320,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2501,'2020/01/27 14:51:40:929',25,327,314,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2502,'2020/01/27 14:51:40:969',25,327,311,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2503,'2020/01/27 14:51:40:969',25,327,310,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2504,'2020/01/27 14:51:40:969',25,326,310,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2505,'2020/01/27 14:51:41:009',25,325,311,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2506,'2020/01/27 14:51:41:009',25,321,315,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2507,'2020/01/27 14:51:41:050',25,319,317,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2508,'2020/01/27 14:51:41:050',25,318,319,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2509,'2020/01/27 14:51:41:050',25,317,320,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2510,'2020/01/27 14:51:41:050',25,317,321,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2511,'2020/01/27 14:51:41:086',25,317,322,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2512,'2020/01/27 14:51:41:086',25,317,322,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2513,'2020/01/27 14:51:41:087',25,317,322,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2514,'2020/01/27 14:51:41:169',25,317,320,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2515,'2020/01/27 14:51:41:169',25,317,305,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2516,'2020/01/27 14:51:41:169',25,312,282,0.691477,0.678107,0.328907,0.511128,0.79328,0.075273
2517,'2020/01/27 14:51:43:050',25,178,32,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2518,'2020/01/27 14:51:43:089',25,178,32,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2519,'2020/01/27 14:51:43:089',25,180,31,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
2520,'2020/01/27 14:51:43:089',25,184,30,0.830341,0.460619,0.46846,0.143557,0.538265,0.313553
